,Planet$_b$,Period$_b$,"T$_0,$$_b$",$\sqrt{e}\cos \omega$$_b$,$\sqrt{e}\sin \omega$$_b$,i$_b$,$\Omega$$_b$,"M$_{jup,}$$_b$",R$_p$/R$_s$$_b$,Planet$_c$,Period$_c$,"T$_0,$$_c$",$\sqrt{e}\cos \omega$$_c$,$\sqrt{e}\sin \omega$$_c$,i$_c$,$\Omega$$_c$,"M$_{jup,}$$_c$",R$_p$/R$_s$$_c$,M$_s$,R$_s$,c$_1$,c$_2$,dilute,chisq,Chain#
0,0.1,13.870488392391316,808.7049523994071,0.086945883821082,0.134098139841454,90.28713060795847,0.0,0.022241423124044,0.010852171544888,0.2,16.217030989178948,802.6600473207549,0.143062042618643,0.022075535430938,90.15062916562476,0.0,0.015964798204286,0.039679561035802,1.071,1.626,0.41956510031344,0.095010675109911,0.0,522370.32462421455,0
1,0.1,13.870763464780358,808.7077278956039,0.084470255547682,0.134036191792987,90.28745218383295,0.0,0.022470813321008,0.01452103390306,0.2,16.214326179045344,802.6600251823648,0.137070457046012,0.023489417046575,90.15288603668755,0.0,0.015080044347531,0.038534146595122,1.071,1.626,0.419566238393186,0.095010835281531,0.0,446678.33564828755,0
2,0.1,13.868925094507288,808.703298277455,0.097747497616101,0.135749184444506,90.28716342435465,0.0,0.035064954167163,0.017853301387634,0.2,16.219952128156688,802.6738041721776,0.150090070097809,0.015245279346178,90.15545841816537,0.0,0.019602853171039,0.030675020908764,1.071,1.626,0.419568132206264,0.09500161511618,0.0,275507.2678838514,0
3,0.1,13.862625724962744,808.6709989637266,0.144574610660157,0.160602313904092,90.31295601375238,0.0,0.087772835096521,0.01171246555573,0.2,16.244699320132465,802.699534225051,0.174733026212341,-0.01806916989781,90.2081613670103,0.0,0.010327274306001,0.005362594043782,1.071,1.626,0.419588614262342,0.09498437867595,0.0,101301.21079541912,0
4,0.1,13.862625724962744,808.6709989637266,0.144574610660157,0.160602313904092,90.31295601375238,0.0,0.087772835096521,0.01171246555573,0.2,16.244699320132465,802.699534225051,0.174733026212341,-0.01806916989781,90.2081613670103,0.0,0.010327274306001,0.005362594043782,1.071,1.626,0.419588614262342,0.09498437867595,0.0,101301.21079541912,0
5,0.1,13.862625724962744,808.6709989637266,0.144574610660157,0.160602313904092,90.31295601375238,0.0,0.087772835096521,0.01171246555573,0.2,16.244699320132465,802.699534225051,0.174733026212341,-0.01806916989781,90.2081613670103,0.0,0.010327274306001,0.005362594043782,1.071,1.626,0.419588614262342,0.09498437867595,0.0,101301.21079541912,0
6,0.1,13.862625724962744,808.6709989637266,0.144574610660157,0.160602313904092,90.31295601375238,0.0,0.087772835096521,0.01171246555573,0.2,16.244699320132465,802.699534225051,0.174733026212341,-0.01806916989781,90.2081613670103,0.0,0.010327274306001,0.005362594043782,1.071,1.626,0.419588614262342,0.09498437867595,0.0,101301.21079541912,0
7,0.1,13.874446547543023,808.6638491920961,0.166861348995577,0.112592999836639,90.30165428044369,0.0,0.039109958718743,0.01144089182343,0.2,16.235837962953912,802.6769528372204,0.198118058504349,-0.044282950110414,90.1990824723284,0.0,0.016788876228177,0.002518737340482,1.071,1.626,0.419581814626831,0.094969160958113,0.0,100443.74107275778,0
8,0.1,13.872165404328491,808.6517983753421,0.183315343372739,0.130218934498769,90.3086308049728,0.0,0.065321292240626,0.00821232027605,0.2,16.238473124257567,802.6835370632723,0.205819133189969,-0.057215561088627,90.20875840011905,0.0,0.017687345895143,0.00066756549152,1.071,1.626,0.419588906062252,0.094963160688156,0.0,99335.8471536437,0
9,0.1,13.886031892517376,808.6299158506455,0.276574746819016,0.195334242453713,90.30033642775192,0.0,0.095643208258422,0.006215512672285,0.2,16.235923852222392,802.6961944459015,0.19964726093565,-0.095714885788261,90.18986580652114,0.0,0.020850788537971,0.003265808263775,1.071,1.626,0.419592086540372,0.094946483462899,0.0,98369.6327588344,0
10,0.1,13.886031892517376,808.6299158506455,0.276574746819016,0.195334242453713,90.30033642775192,0.0,0.095643208258422,0.006215512672285,0.2,16.235923852222392,802.6961944459015,0.19964726093565,-0.095714885788261,90.18986580652114,0.0,0.020850788537971,0.003265808263775,1.071,1.626,0.419592086540372,0.094946483462899,0.0,98369.6327588344,0
11,0.1,13.889242831627104,808.6286489805165,0.284665448427884,0.187524920001858,90.29596432602656,0.0,0.081315663424655,0.005329277030438,0.2,16.235994518374092,802.6883876680673,0.207081737688502,-0.101052593886835,90.18344348309469,0.0,0.023439182554101,0.003830331342755,1.071,1.626,0.419589948166619,0.094944142515409,0.0,98302.1376282943,0
