Period$_b$      	       13.8696017505 +         0.0003344501 -         0.0003156278 
T$_0,$$_b$      	      808.7081108445 +         0.0022763972 -         0.0024048787 
$\sqrt{e}\cos \omega$$_b$	        0.0820998468 +         0.0270836009 -         0.0272929307 
$\sqrt{e}\sin \omega$$_b$	        0.1221207421 +         0.0128509033 -         0.0216870505 
i$_b$           	       90.2958266824 +         0.1852682705 -         0.1213985358 
$\Omega$$_b$    	        0.0000000000 +         0.0000000000 -         0.0000000000 
M$_{jup,}$$_b$  	        0.0133759427 +         0.0002653463 -         0.0002344522 
R$_p$/R$_s$$_b$ 	        0.0083638250 +         0.0001276681 -         0.0001562723 
Period$_c$      	       16.2174158971 +         0.0001001680 -         0.0001012759 
T$_0,$$_c$      	      802.6602862071 +         0.0006425768 -         0.0007585363 
$\sqrt{e}\cos \omega$$_c$	        0.1362998766 +         0.0185808100 -         0.0165924869 
$\sqrt{e}\sin \omega$$_c$	        0.0069748299 +         0.0202805942 -         0.0330827038 
i$_c$           	       90.2972696042 +         0.1534230703 -         0.1697627580 
$\Omega$$_c$    	        0.0000000000 +         0.0000000000 -         0.0000000000 
M$_{jup,}$$_c$  	        0.0244340898 +         0.0003061588 -         0.0003280937 
R$_p$/R$_s$$_c$ 	        0.0207375044 +         0.0000613734 -         0.0000598407 
M$_s$           	        1.0710000000 +         0.0000000000 -         0.0000000000 
R$_s$           	        1.6260000000 +         0.0000000000 -         0.0000000000 
c$_1$           	        0.4195803934 +         0.0004632304 -         0.0002336744 
c$_2$           	        0.0950612792 +         0.0013636581 -         0.0006257034 
dilute          	        0.0000000000 +         0.0000000000 -         0.0000000000 
chisq           	    57376.8371612040 +         6.1690976531 -         4.3954308738 
M$_b$           	        4.2512435551 +         0.0843343588 -         0.0745153660 
M$_c$           	        7.7658277503 +         0.0973057033 -         0.1042772432 
R$_b$           	        1.4828894746 +         0.0226352923 -         0.0277067708 
R$_c$           	        3.6767181525 +         0.0108813852 -         0.0106096343 
$\rho$$_b$      	        7.2099869721 +         0.4241045668 -         0.3741715409 
$\rho$$_c$      	        0.8618001772 +         0.0117619436 -         0.0129374815 
$e_b$           	        0.0223093384 +         0.0046987219 -         0.0062810236 
$e_c$           	        0.0193094003 +         0.0051689248 -         0.0043387136 
