,Planet$_b$,Period$_b$,"T$_0,$$_b$",$\sqrt{e}\cos \omega$$_b$,$\sqrt{e}\sin \omega$$_b$,i$_b$,$\Omega$$_b$,"M$_{jup,}$$_b$",R$_p$/R$_s$$_b$,Planet$_c$,Period$_c$,"T$_0,$$_c$",$\sqrt{e}\cos \omega$$_c$,$\sqrt{e}\sin \omega$$_c$,i$_c$,$\Omega$$_c$,"M$_{jup,}$$_c$",R$_p$/R$_s$$_c$,Planet$_d$,Period$_d$,"T$_0,$$_d$",$\sqrt{e}\cos \omega$$_d$,$\sqrt{e}\sin \omega$$_d$,i$_d$,$\Omega$$_d$,"M$_{jup,}$$_d$",R$_p$/R$_s$$_d$,M$_s$,R$_s$,c$_1$,c$_2$,dilute,chisq,Chain#
3,0.1,2.508191813532937,2021.0698311067192,0.0,0.0,89.71019521937751,0.0,0.010479924839115,0.011912134886008,0.2,7.922297440977593,2027.9028205103505,-0.118273566163987,-0.348985356339027,88.42260790176442,0.0,0.103234273306855,0.076532133970577,0.3,11.897821501742758,2020.0010159339267,-0.065468351003247,-0.396877766590821,88.84203479449533,0.0,0.034703689654919,0.045346460605661,0.900518706829518,0.871678957080004,0.333244870101667,0.398325769331796,0.0,3490.83978127035,1
4,0.1,2.50780767671934,2021.070672214861,0.0,0.0,89.34044897606134,0.0,0.005559791897513,0.012376926742553,0.2,7.922302015112869,2027.9026566702028,-0.134230613447747,-0.361486334841302,88.37569185446179,0.0,0.103966027492313,0.076732074896625,0.3,11.898045651528731,2020.001462946078,-0.079171990282739,-0.408127112854754,88.78372171968128,0.0,0.036402826513363,0.04586053910445,0.895890800237606,0.873868626204079,0.268401734183362,0.451901275765448,0.0,3491.88732618702,1
5,0.1,2.508066378237197,2021.071367182111,0.0,0.0,88.4486395667913,0.0,0.000624909052721,0.013007068624519,0.2,7.922322624403944,2027.9029043718533,-0.124591788817711,-0.32892632220647,88.32029435641368,0.0,0.101132324003633,0.076823458564155,0.3,11.897622530097744,2020.001047796541,-0.068673962403368,-0.38349592115564,88.73693651236894,0.0,0.035833123001531,0.045539167201953,0.890222298671685,0.889709006063932,0.290289395571475,0.430252272905415,0.0,3490.32865283457,1
6,0.1,2.507942687039967,2021.0716308510785,0.0,0.0,88.84070961940989,0.0,0.006935171547957,0.012641234424582,0.2,7.922255508672031,2027.9028858846204,-0.144871637437372,-0.344273335234228,88.32652488523868,0.0,0.103196175238199,0.076841161356762,0.3,11.897998433634417,2020.0013476539073,-0.085105874470148,-0.395460100074888,88.73798908848472,0.0,0.034991197181439,0.045798305186053,0.89214910975472,0.885450654305584,0.261954322702692,0.47006691489528,0.0,3486.04031967795,1
0,0.1,2.507921004412602,2021.0706783579965,0.0,0.0,89.91988814290144,0.0,1.5383215174e-05,0.012115797369181,0.2,7.922374029816767,2027.902788950966,-0.115302087046216,-0.355690197739064,88.40846585082761,0.0,0.100266269036454,0.077396100246317,0.3,11.897967011795824,2020.0010126800348,-0.060093994133218,-0.394793944473218,88.82269329190518,0.0,0.035255246044679,0.045861483071428,0.89895787394893,0.883070131401261,0.302265253769707,0.36304496289063,0.0,6530.18239998123,2
1,0.1,2.507921004412602,2021.0706783579965,0.0,0.0,89.91988814290144,0.0,1.5383215174e-05,0.012115797369181,0.2,7.922374029816767,2027.902788950966,-0.115302087046216,-0.355690197739064,88.40846585082761,0.0,0.100266269036454,0.077396100246317,0.3,11.897967011795824,2020.0010126800348,-0.060093994133218,-0.394793944473218,88.82269329190518,0.0,0.035255246044679,0.045861483071428,0.89895787394893,0.883070131401261,0.302265253769707,0.36304496289063,0.0,6530.18239998123,2
2,0.1,2.507921004412602,2021.0706783579965,0.0,0.0,89.91988814290144,0.0,1.5383215174e-05,0.012115797369181,0.2,7.922374029816767,2027.902788950966,-0.115302087046216,-0.355690197739064,88.40846585082761,0.0,0.100266269036454,0.077396100246317,0.3,11.897967011795824,2020.0010126800348,-0.060093994133218,-0.394793944473218,88.82269329190518,0.0,0.035255246044679,0.045861483071428,0.89895787394893,0.883070131401261,0.302265253769707,0.36304496289063,0.0,6530.18239998123,2
3,0.1,2.508182455018551,2021.0699159693572,0.0,0.0,89.90568246721878,0.0,0.017256812141144,0.011894074205966,0.2,7.92233590959334,2027.903031063288,-0.11335942371342,-0.345010829105586,88.4031003152451,0.0,0.104405766008854,0.076730313077383,0.3,11.897717382686468,2020.000821276779,-0.06158547453217,-0.394416733598026,88.82744378875918,0.0,0.034678308871462,0.045783620658262,0.899997886218269,0.872264742447307,0.334318845940554,0.368282881556547,0.0,3488.06212006749,2
4,0.1,2.50788393864413,2021.0687980889593,0.0,0.0,89.54758627602355,0.0,0.009483320316671,0.01183436071215,0.2,7.922269712557273,2027.9028592982131,-0.137922410862899,-0.357388049213041,88.4348326178231,0.0,0.10391737629095,0.076818348714929,0.3,11.898124049879328,2020.0013705066556,-0.081742017943102,-0.405061895776294,88.85168181970627,0.0,0.035567879010609,0.045460170707503,0.897959778699306,0.861713947067984,0.312676361638538,0.387732365857649,0.0,3485.21798864905,2
5,0.1,2.508395575473852,2021.0666386921591,0.0,0.0,89.73545549459729,0.0,0.013955692894276,0.01167042865381,0.2,7.922374297510793,2027.903009110068,-0.117738203789721,-0.32152651025338,88.52134940041286,0.0,0.101192665444599,0.076314401647865,0.3,11.89764202856173,2020.0015169855524,-0.062118965729554,-0.376936727093817,88.88365301366558,0.0,0.035791440278907,0.045822323753387,0.900329032097583,0.856649753732799,0.37720902086253,0.298821577430748,0.0,3495.46354166371,2
6,0.1,2.508390759336292,2021.070314101396,0.0,0.0,89.20796145138773,0.0,0.003301480004343,0.012266456295775,0.2,7.922262809323843,2027.90281735142,-0.158559848101265,-0.316368239674973,88.54775669968316,0.0,0.103287407191039,0.076003186697049,0.3,11.897680398506848,2020.0016735153831,-0.092551305110113,-0.376426735149118,88.94862168278404,0.0,0.034684430782005,0.045010909344277,0.897468652564393,0.851243855481392,0.365720658297599,0.363313627137388,0.0,3480.45033693346,2
0,0.1,2.507920851923896,2021.0706783178,0.0,0.0,89.91986673939763,0.0,1.1756152869e-05,0.012120829878908,0.2,7.922373721566933,2027.9027889125707,-0.115300048705983,-0.355693183649284,88.40847907779155,0.0,0.100261818544485,0.077417989084064,0.3,11.897966903450513,2020.0010129452248,-0.060093218017685,-0.394794762456922,88.82269818955363,0.0,0.035263605845693,0.045870784093341,0.898958066940344,0.883069397815932,0.30226825819411,0.36304234892643,0.0,6538.45555789385,3
