Period$_b$      	        2.5081723256 +         0.0008586742 -         0.0021157842 
T$_0,$$_b$      	     2021.0723228712 +         0.0069339086 -         0.0172851157 
$\sqrt{e}\cos \omega$$_b$	        0.0000000000 +         0.0000000000 -         0.0000000000 
$\sqrt{e}\sin \omega$$_b$	        0.0000000000 +         0.0000000000 -         0.0000000000 
i$_b$           	       89.3351970152 +         0.6639227643 -         2.7909713248 
$\Omega$$_b$    	        0.0000000000 +         0.0000000000 -         0.0000000000 
M$_{jup,}$$_b$  	        0.0080901104 +         0.0296785009 -         0.0080899429 
R$_p$/R$_s$$_b$ 	        0.0122395731 +         0.0012232389 -         0.0041281261 
Period$_c$      	        7.9223762813 +         0.0002879522 -         0.0019401453 
T$_0,$$_c$      	     2027.9029451731 +         0.0005293577 -         0.0037177232 
$\sqrt{e}\cos \omega$$_c$	       -0.1235693452 +         0.1757711684 -         0.1987830170 
$\sqrt{e}\sin \omega$$_c$	       -0.3102414753 +         0.2539672217 -         0.1536750798 
i$_c$           	       88.5126759352 +         0.8306737190 -         0.3462048413 
$\Omega$$_c$    	        0.0000000000 +         0.0000000000 -         0.0000000000 
M$_{jup,}$$_c$  	        0.1007269518 +         0.0176818970 -         0.0107001298 
R$_p$/R$_s$$_c$ 	        0.0764048270 +         0.0018777294 -         0.0033381874 
Period$_d$      	       11.8973552532 +         0.0047606484 -         0.0022434061 
T$_0,$$_d$      	     2020.0015168240 +         0.0011974370 -         0.0029902446 
$\sqrt{e}\cos \omega$$_d$	       -0.0651910083 +         0.1193379066 -         0.1636661599 
$\sqrt{e}\sin \omega$$_d$	       -0.3702197296 +         0.1406957181 -         0.1074231066 
i$_d$           	       88.8837757620 +         0.5091034161 -         0.2517724666 
$\Omega$$_d$    	        0.0000000000 +         0.0000000000 -         0.0000000000 
M$_{jup,}$$_d$  	        0.0349464569 +         0.0033177162 -         0.0137848320 
R$_p$/R$_s$$_d$ 	        0.0454069225 +         0.0042935029 -         0.0016923017 
M$_s$           	        0.8951728441 +         0.0617981655 -         0.0822618640 
R$_s$           	        0.8611608995 +         0.0670075408 -         0.0844679406 
c$_1$           	        0.3868754771 +         0.1932681998 -         0.3068592555 
c$_2$           	        0.3013428190 +         0.4495481716 -         0.3002202733 
dilute          	        0.0000000000 +         0.0000000000 -         0.0000000000 
chisq           	     3485.5736713756 +    212296.9785313457 -        14.4447605050 
M$_b$           	        2.5712602451 +         9.4326462545 -         2.5712070019 
M$_c$           	       32.0138038131 +         5.6197946239 -         3.4007964102 
M$_d$           	       11.1069480019 +         1.0544617181 -         4.3811998680 
R$_b$           	        1.1466442452 +         0.1540712498 -         0.3745190141 
R$_c$           	        7.1635932384 +         0.6337503571 -         0.8331171545 
R$_d$           	        4.2621453650 +         0.7411597487 -         0.5258321944 
$\rho$$_b$      	        9.4045990181 +        61.3511353735 -         9.4044146192 
$\rho$$_c$      	        0.4806118949 +         0.2055306507 -         0.1172253669 
$\rho$$_d$      	        0.7883061605 +         0.3675904302 -         0.3626200788 
$e_b$           	        0.0000000000 +         0.0000000000 -         0.0000000000 
$e_c$           	        0.1200703236 +         0.1217574170 -         0.0989314322 
$e_d$           	        0.1453447096 +         0.0890561205 -         0.0819604501 
